season,crop,area,production
Kharif,Arhar/Tur,28400,14900
Kharif,Bajra,100,100
Kharif,Castor seed,1600,300
Kharif,Cotton(lint),162300,432500
Kharif,Dry chillies,27100,97300
Kharif,Groundnut,300,300
Kharif,Jowar,200,100
Kharif,Maize,1700,3100
Kharif,Moong(Green Gram),7400,2800
Kharif,Rice,295000,845300
Kharif,Sesamum,400,100
Kharif,Small millets,4000,200
Kharif,Sugarcane,1600,109600
Kharif,Sunflower,300,200
Kharif,Tobacco,11400,13200
Kharif,Urad,7100,1200
Rabi,Arhar/Tur,1800,1000
Rabi,Dry chillies,700,1300
Rabi,Gram,3000,1500
Rabi,Groundnut,4500,6500
Rabi,Jowar,2400,3500
Rabi,Maize,5000,19000
Rabi,Moong(Green Gram),7700,3100
Rabi,Rice,14500,51800
Rabi,Sesamum,4700,900
Rabi,Urad,153000,75400
Rabi,Varagu,400,300
Kharif,Arhar/Tur,27100,20700
Kharif,Bajra,100,100
Kharif,Castor seed,1400,200
Kharif,Cotton(lint),193600,120700
Kharif,Dry chillies,36500,130500
Kharif,Groundnut,300,400
Kharif,Jowar,600,200
Kharif,Maize,2300,4700
Kharif,Moong(Green Gram),11500,7200
Kharif,Rice,298400,921400
Kharif,Sesamum,1900,300
Kharif,Urad,3900,3000
Rabi,Arhar/Tur,200,200
Rabi,Bajra,200,200
Rabi,Dry chillies,400,900
Rabi,Gram,1400,2700
Rabi,Groundnut,5900,9300
Rabi,Jowar,800,1000
Rabi,Maize,2800,14100
Rabi,Moong(Green Gram),5000,2000
Rabi,Rice,29100,99900
Rabi,Sesamum,6000,2700
Rabi,Urad,127100,107400
Rabi,Varagu,100,100
Whole Year,Sugarcane,2100,150300
Whole Year,Tobacco,9900,13600
Kharif,Bajra,142,159
Kharif,Castor seed,1431,124
Kharif,Cotton(lint),139425,252605
Kharif,Groundnut,545,529
Kharif,Jowar,262,67
Kharif,Maize,3853,10946
Kharif,Masoor,36964,21439
Kharif,Moong(Green Gram),12144,8622
Kharif,Rice,302886,969414
Kharif,Sesamum,12093,5672
Kharif,Sunflower,23,8
Kharif,Urad,6146,3749
Rabi,Gram,868,965
Rabi,Groundnut,3450,7800
Rabi,Jowar,940,374
Rabi,Maize,3755,18178
Rabi,Masoor,977,567
Rabi,Moong(Green Gram),3684,950
Rabi,Ragi,10,17
Rabi,Rapeseed &Mustard,850,151
Rabi,Rice,14822,53167
Rabi,Sesamum,1545,355
Rabi,Urad,136538,114146
Whole Year,Dry chillies,59256,111260
Whole Year,Onion,1593,23110
Whole Year,Sugarcane,2229,182780
Whole Year,Tobacco,8534,16308
Kharif,Arhar/Tur,42388,16786
Kharif,Bajra,406,550
Kharif,Castor seed,3720,1038
Kharif,Cotton(lint),125251,252712
Kharif,Dry chillies,50294,147965
Kharif,Groundnut,255,278
Kharif,Jowar,181,67
Kharif,Maize,5281,13752
Kharif,Moong(Green Gram),20785,14612
Kharif,Onion,376,5247
Kharif,Rice,292899,987363
Kharif,Sesamum,16160,3749
Kharif,Urad,9324,550
Rabi,Arhar/Tur,1115,442
Rabi,Bajra,31,42
Rabi,Dry chillies,664,1370
Rabi,Gram,1452,3453
Rabi,Groundnut,3984,8956
Rabi,Horse-gram,6,1
Rabi,Jowar,718,626
Rabi,Maize,4516,24314
Rabi,Moong(Green Gram),6920,2318
Rabi,Onion,816,14792
Rabi,Ragi,23,42
Rabi,Rapeseed &Mustard,1331,98
Rabi,Rice,12692,49600
Rabi,Sesamum,290,61
Rabi,Small millets,89,67
Rabi,Urad,165179,128840
Rabi,Varagu,89,67
Whole Year,Banana,7612,141059
Whole Year,Cashewnut,97,21
Whole Year,Coconut,519,5555550
Whole Year,Coriander,35,26
Whole Year,Sugarcane,1696,135426
Whole Year,Sweet potato,90,2543
Whole Year,Tobacco,2345,
Whole Year,Turmeric,4902,25647
Kharif,Arhar/Tur,39203,29873
Kharif,Bajra,77,76
Kharif,Castor seed,3400,1469
Kharif,Cotton(lint),126285,378112
Kharif,Dry chillies,51052,203953
Kharif,Groundnut,189,138
Kharif,Jowar,184,105
Kharif,Maize,2549,6814
Kharif,Moong(Green Gram),10504,3414
Kharif,Onion,693,9615
Kharif,Rice,272468,935110
Kharif,Sesamum,7695,1293
Kharif,Urad,9551,3448
Rabi,Arhar/Tur,770,587
Rabi,Bajra,43,43
Rabi,Dry chillies,515,1036
Rabi,Gram,2820,5285
Rabi,Groundnut,5092,12954
Rabi,Jowar,398,294
Rabi,Maize,4369,28281
Rabi,Moong(Green Gram),3410,1405
Rabi,Onion,883,11504
Rabi,Ragi,8,15
Rabi,Rapeseed &Mustard,1242,324
Rabi,Rice,44917,181060
Rabi,Sesamum,100,25
Rabi,Small millets,15,12
Rabi,Urad,154060,118164
Rabi,Varagu,15,12
Whole Year,Banana,7967,204939
Whole Year,Cashewnut,150,41
Whole Year,Coconut,491,5426352
Whole Year,Coriander,115,89
Whole Year,Sugarcane,1700,139080
Whole Year,Sweet potato,55,1544
Whole Year,Tobacco,2857,4480
Whole Year,Turmeric,4266,22964
Kharif,Arhar/Tur,37456,19290
Kharif,Bajra,419,356
Kharif,Castor seed,2684,827
Kharif,Cotton(lint),98628,186813
Kharif,Dry chillies,58658,118606
Kharif,Groundnut,161,141
Kharif,Jowar,76,25
Kharif,Maize,2327,2255
Kharif,Moong(Green Gram),8146,978
Kharif,Onion,806,9635
Kharif,Rice,202953,646811
Kharif,Sesamum,6345,609
Kharif,Soyabean,2376,0
Kharif,Sunflower,44,48
Kharif,Urad,3217,167
Rabi,Arhar/Tur,1314,677
Rabi,Bajra,6,5
Rabi,Dry chillies,658,1094
Rabi,Gram,9847,12909
Rabi,Groundnut,3624,7802
Rabi,Horse-gram,9,3
Rabi,Jowar,8638,6928
Rabi,Maize,6450,44699
Rabi,Moong(Green Gram),5737,1624
Rabi,Onion,737,13565
Rabi,other oilseeds,51,63
Rabi,Ragi,5,7
Rabi,Rapeseed &Mustard,1279,118
Rabi,Rice,2716,7385
Rabi,Sesamum,83,15
Rabi,Small millets,182,66
Rabi,Urad,176210,116827
Whole Year,Banana,6720,151697
Whole Year,Beans & Mutter(Vegetable),466,2348
Whole Year,Bhindi,1644,10018
Whole Year,Bottle Gourd,316,0
Whole Year,Brinjal,1169,23076
Whole Year,Cabbage,162,0
Whole Year,Cashewnut,150,19
Whole Year,Citrus Fruit,2007,8914
Whole Year,Coconut,399,4488408
Whole Year,Coriander,64,35
Whole Year,Cucumber,1555,0
Whole Year,Mango,984,10186
Whole Year,Orange,288,5124
Whole Year,other fibres,6268,0
Whole Year,Other Fresh Fruits,1359,6100
Whole Year,Other Vegetables,5007,0
Whole Year,Papaya,87,11349
Whole Year,Pome Fruit,307,2323
Whole Year,Sugarcane,1738,114932
Whole Year,Sweet potato,58,1635
Whole Year,Tobacco,2592,2803
Whole Year,Tomato,1067,7291
Whole Year,Turmeric,4625,29669
Kharif,Arhar/Tur,34020,17758
Kharif,Bajra,16082,21839
Kharif,Castor seed,4263,3338
Kharif,Cotton(lint),138925,485420
Kharif,Dry chillies,67122,338429
Kharif,Gram,44,79
Kharif,Groundnut,265,254
Kharif,Jowar,9610,28426
Kharif,Maize,3891,6677
Kharif,Moong(Green Gram),39752,17650
Kharif,Onion,439,6404
Kharif,Rice,170487,482990
Kharif,Sesamum,16291,4773
Kharif,Soyabean,1631,1796
Kharif,Sunflower,398,437
Kharif,Urad,1615,995
Rabi,Arhar/Tur,762,398
Rabi,Bajra,197,268
Rabi,Dry chillies,172,363
Rabi,Gram,17127,30656
Rabi,Groundnut,8348,11178
Rabi,Jowar,22318,41913
Rabi,Maize,22949,128514
Rabi,Moong(Green Gram),26217,7813
Rabi,Onion,428,3364
Rabi,other oilseeds,13,
Rabi,Rapeseed &Mustard,1135,280
Rabi,Rice,5772,16837
Rabi,Safflower,6,2
Rabi,Sesamum,1271,262
Rabi,Small millets,46,25
Rabi,Urad,65589,17119
Rabi,Varagu,46,25
Whole Year,Banana,5681,42238
Whole Year,Beans & Mutter(Vegetable),512,3505
Whole Year,Bhindi,2308,14402
Whole Year,Bottle Gourd,234,0
Whole Year,Brinjal,1231,17657
Whole Year,Cabbage,283,0
Whole Year,Cashewnut,150,40
Whole Year,Citrus Fruit,2020,10680
Whole Year,Coconut,380,4497480
Whole Year,Coriander,195,148
Whole Year,Cucumber,1888,0
Whole Year,Mango,913,2552
Whole Year,Orange,959,14549
Whole Year,Other Fresh Fruits,1350,6537
Whole Year,Other Vegetables,5430,0
Whole Year,Papaya,88,7991
Whole Year,Pome Fruit,285,2476
Whole Year,Sugarcane,1547,110569
Whole Year,Sweet potato,33,239
Whole Year,Tobacco,3181,7965
Whole Year,Tomato,1478,14161
Whole Year,Turmeric,4289,30649
Kharif,Arhar/Tur,31557,30295
Kharif,Bajra,5824,1584
Kharif,Castor seed,4765,3135
Kharif,Cotton(lint),177868,593242
Kharif,Dry chillies,55534,272727
Kharif,Groundnut,184,176
Kharif,Jowar,1797,961
Kharif,Maize,2749,8121
Kharif,Mesta,6,51
Kharif,Moong(Green Gram),8480,3053
Kharif,Onion,845,14336
Kharif,Rice,240404,833961
Kharif,Sesamum,8839,3323
Kharif,Soyabean,1066,651
Kharif,Sunflower,260,167
Kharif,Urad,1039,501
Rabi,Arhar/Tur,559,537
Rabi,Bajra,10,3
Rabi,Dry chillies,271,699
Rabi,Gram,3719,5679
Rabi,Groundnut,4585,11582
Rabi,Jowar,1515,8043
Rabi,Maize,32788,279714
Rabi,Moong(Green Gram),7823,2801
Rabi,Onion,394,5344
Rabi,Ragi,11,18
Rabi,Rapeseed &Mustard,1356,92
Rabi,Rice,21247,70922
Rabi,Sesamum,805,190
Rabi,Small millets,5,3
Rabi,Sunflower,59,53
Rabi,Urad,67026,45041
Whole Year,Banana,6340,180798
Whole Year,Cashewnut,159,34
Whole Year,Coconut,215,2528312
Whole Year,Coriander,16,10
Whole Year,Sugarcane,1972,150690
Whole Year,Sweet potato,48,439
Whole Year,Tapioca,5,36
Whole Year,Tobacco,3872,7020
Whole Year,Turmeric,4846,34184
Kharif,Arhar/Tur,35956,31461
Kharif,Bajra,796,464
Kharif,Castor seed,6886,3759
Kharif,Cotton(lint),152978,462533
Kharif,Dry chillies,41126,193539
Kharif,Groundnut,235,263
Kharif,Jowar,202,112
Kharif,Maize,1617,5786
Kharif,Moong(Green Gram),3852,1938
Kharif,Onion,1327,24880
Kharif,Rice,288879,892636
Kharif,Sesamum,4263,499
Kharif,Soyabean,1533,845
Kharif,Urad,1243,428
Rabi,Dry chillies,327,712
Rabi,Gram,6350,9970
Rabi,Groundnut,4834,16262
Rabi,Jowar,2449,12806
Rabi,Maize,22565,237023
Rabi,Moong(Green Gram),1913,1234
Rabi,Onion,372,5986
Rabi,Ragi,40,75
Rabi,Rapeseed &Mustard,1083,73
Rabi,Rice,31434,111559
Rabi,Sesamum,363,83
Rabi,Urad,100125,78298
Whole Year,Banana,6263,164925
Whole Year,Cashewnut,159,42
Whole Year,Coconut,222,1941072
Whole Year,Sugarcane,1953,138788
Whole Year,Sunflower,332,377
Whole Year,Sweet potato,60,582
Whole Year,Tobacco,3110,5759
Whole Year,Turmeric,5219,34127
Kharif,Arhar/Tur,27430,20188
Kharif,Castor seed,1709,680
Kharif,Cotton(lint),132550,468603
Kharif,Dry chillies,58871,285819
Kharif,Groundnut,178,173
Kharif,Maize,1132,3104
Kharif,Moong(Green Gram),597,187
Kharif,Onion,598,10027
Kharif,Rice,288638,783941
Kharif,Sesamum,2037,568
Kharif,Soyabean,221,225
Kharif,Urad,1104,531
Rabi,Arhar/Tur,331,244
Rabi,Bajra,40,38
Rabi,Dry chillies,1045,3121
Rabi,Gram,11684,18099
Rabi,Groundnut,3690,8310
Rabi,Jowar,723,4168
Rabi,Maize,34010,280276
Rabi,Moong(Green Gram),1451,991
Rabi,Onion,566,7493
Rabi,Rapeseed &Mustard,743,46
Rabi,Rice,28933,100947
Rabi,Sesamum,83,16
Rabi,Urad,118159,111424
Whole Year,Banana,5653,173479
Whole Year,Cashewnut,159,42
Whole Year,Coconut,213,2747097
Whole Year,Sugarcane,1721,135923
Whole Year,Sunflower,47,38
Whole Year,Sweet potato,11,118
Whole Year,Tobacco,2541,5377
Whole Year,Turmeric,5359,32047
Kharif,Arhar/Tur,21000,19000
Kharif,Castor seed,2000,1000
Kharif,Cotton(lint),150000,689000
Kharif,Dry chillies,63000,312000
Kharif,Maize,1000,3000
Kharif,Moong(Green Gram),3000,1000
Kharif,Onion,1000,18000
Kharif,Rice,283000,976000
Kharif,Sesamum,2000,1000
Kharif,Urad,1000,1000
Rabi,Dry chillies,1000,3000
Rabi,Gram,15000,25000
Rabi,Groundnut,7000,9000
Rabi,Jowar,3000,15000
Rabi,Maize,58000,517000
Rabi,Moong(Green Gram),2000,1000
Rabi,Rice,24000,85000
Rabi,Urad,107000,31000
Whole Year,Sugarcane,2000,117000
Whole Year,Tobacco,2000,5000
Kharif,Arhar/Tur,18935,21832
Kharif,Castor seed,2106,1497
Kharif,Cotton(lint),166289,643636
Kharif,Dry chillies,61236,305935
Kharif,Groundnut,292,350
Kharif,Maize,784,2522
Kharif,Mesta,12,95
Kharif,Moong(Green Gram),183,55
Kharif,Onion,639,10738
Kharif,Rice,281491,959321
Kharif,Sesamum,501,180
Kharif,Urad,222,71
Rabi,Arhar/Tur,132,152
Rabi,Dry chillies,2392,8444
Rabi,Gram,12603,26025
Rabi,Groundnut,4950,12251
Rabi,Jowar,5108,35633
Rabi,Maize,95547,950884
Rabi,Moong(Green Gram),3925,2390
Rabi,Onion,84,1682
Rabi,Rapeseed &Mustard,707,16
Rabi,Rice,51358,187662
Rabi,Sesamum,35,6
Rabi,Urad,40024,22373
Whole Year,Banana,5519,174969
Whole Year,Cashewnut,156,45
Whole Year,Coconut,157,1435126
Whole Year,Sugarcane,762,57402
Whole Year,Sunflower,100,101
Whole Year,Sweet potato,21,286
Whole Year,Tobacco,6246,15890
Whole Year,Turmeric,4394,30354
Kharif,Arhar/Tur,31140,28680
Kharif,Bajra,315,557
Kharif,Castor seed,762,895
Kharif,Cotton(lint),151490,524868
Kharif,Dry chillies,61837,341340
Kharif,Groundnut,256,284
Kharif,Jowar,180,212
Kharif,Maize,530,1912
Kharif,Moong(Green Gram),1135,20
Kharif,Onion,723,11708
Kharif,Rice,190526,683226
Kharif,Sesamum,1951,1077
Kharif,Urad,342,320
Rabi,Arhar/Tur,2552,2350
Rabi,Dry chillies,5101,20067
Rabi,Gram,9439,12280
Rabi,Groundnut,3588,9914
Rabi,Horse-gram,78,49
Rabi,Jowar,3449,20422
Rabi,Maize,68798,529745
Rabi,Moong(Green Gram),3683,2567
Rabi,Onion,40,1068
Rabi,Rapeseed &Mustard,595,15
Rabi,Rice,112342,383423
Rabi,Sesamum,15,3
Rabi,Small millets,84,79
Rabi,Urad,62373,35989
Whole Year,Banana,5177,122452
Whole Year,Cashewnut,166,49
Whole Year,Coconut,136,1539810
Whole Year,Coriander,22,23
Whole Year,Sugarcane,409,41203
Whole Year,Sunflower,50,49
Whole Year,Sweet potato,15,193
Whole Year,Tobacco,9223,21059
Whole Year,Turmeric,4704,24301
Kharif,Arhar/Tur,24084,27239
Kharif,Bajra,1065,1984
Kharif,Castor seed,1780,603
Kharif,Cotton(lint),170158,402203
Kharif,Dry chillies,61394,205424
Kharif,Groundnut,357,442
Kharif,Jowar,61,88
Kharif,Maize,269,802
Kharif,Mesta,52,465
Kharif,Moong(Green Gram),14346,2166
Kharif,Onion,619,12293
Kharif,Rice,271072,649760
Kharif,Sesamum,6130,736
Kharif,Soyabean,6,12
Kharif,Urad,277,14
Rabi,Arhar/Tur,885,1001
Rabi,Bajra,118,220
Rabi,Dry chillies,3314,13677
Rabi,Gram,9334,16521
Rabi,Groundnut,4389,13092
Rabi,Jowar,3940,23995
Rabi,Linseed,137,32
Rabi,Maize,80083,904377
Rabi,Moong(Green Gram),7365,2975
Rabi,Onion,268,1323
Rabi,Rapeseed &Mustard,761,1845
Rabi,Rice,58393,201806
Rabi,Sesamum,621,142
Rabi,Urad,69752,38922
Rabi,Wheat,43,56
Whole Year,Banana,5045,151597
Whole Year,Cashewnut,162,39
Whole Year,Coriander,25,17
Whole Year,Sugarcane,908,77430
Whole Year,Sunflower,24,30
Whole Year,Sweet potato,14,179
Whole Year,Tobacco,4116,10729
Whole Year,Turmeric,5413,35027
Kharif,Arhar/Tur,16678,16745
Kharif,Bajra,12,21
Kharif,Castor seed,1789,2596
Kharif,Cotton(lint),162714,346485
Kharif,Dry chillies,74418,319402
Kharif,Groundnut,341,477
Kharif,Maize,792,2922
Kharif,Moong(Green Gram),919,35
Kharif,Onion,959,13821
Kharif,other oilseeds,7,149
Kharif,Rice,281790,1080921
Kharif,Sesamum,2532,1152
Kharif,Soyabean,5,8
Kharif,Urad,172,189
Rabi,Arhar/Tur,401,403
Rabi,Dry chillies,1706,7431
Rabi,Gram,11693,23854
Rabi,Groundnut,4750,13775
Rabi,Jowar,21061,125945
Rabi,Maize,70965,627331
Rabi,Moong(Green Gram),17266,15298
Rabi,other oilseeds,5,8
Rabi,Ragi,114,173
Rabi,Rapeseed &Mustard,666,1572
Rabi,Rice,11012,39060
Rabi,Sesamum,1312,283
Rabi,Urad,55286,60759
Whole Year,Banana,5595,216308
Whole Year,Cashewnut,162,42
Whole Year,Coconut,125,1757728
Whole Year,Sugarcane,967,100572
Whole Year,Sunflower,1,1
Whole Year,Sweet potato,21,270
Whole Year,Tobacco,4487,14803
Whole Year,Turmeric,5593,43737
Kharif,Arhar/Tur,13555,18787
Kharif,Bajra,1882,3668
Kharif,Brinjal,621,6424
Kharif,Cabbage,47,1238
Kharif,Cashewnut,154,42
Kharif,Castor seed,1728,2825
Kharif,Cotton(lint),187397,708802
Kharif,Dry chillies,58609,255418
Kharif,Groundnut,434,714
Kharif,Jowar,295,782
Kharif,Lemon,1910,35068
Kharif,Maize,1103,4319
Kharif,Mango,703,5422
Kharif,Moong(Green Gram),2980,1299
Kharif,Onion,679,12963
Kharif,Papaya,322,35076
Kharif,Rice,174699,607778
Kharif,Sapota,1471,12933
Kharif,Sesamum,1945,521
Kharif,Soyabean,168,305
Kharif,Sugarcane,573,53792
Kharif,Tobacco,1378,4775
Kharif,Tomato,783,27537
Kharif,Turmeric,5013,32695
Kharif,Urad,761,688
Rabi,Arhar/Tur,1112,1541
Rabi,Bajra,24,47
Rabi,Brinjal,468,4841
Rabi,Cabbage,28,737
Rabi,Castor seed,1235,2019
Rabi,Coriander,1,1
Rabi,Cowpea(Lobia),14,13
Rabi,Dry chillies,3267,13035
Rabi,Gram,22669,42708
Rabi,Groundnut,6774,13480
Rabi,Jowar,27515,149544
Rabi,Maize,82043,662579
Rabi,Moong(Green Gram),18347,24750
Rabi,Onion,11,101
Rabi,Ragi,162,231
Rabi,Rapeseed &Mustard,486,231
Rabi,Rice,8362,29903
Rabi,Sesamum,1863,490
Rabi,Sunflower,299,289
Rabi,Sweet potato,9,87
Rabi,Tobacco,4598,14961
Rabi,Tomato,788,7674
Rabi,Urad,49775,53300
Whole Year,Coconut,118,2016000
Kharif,Arhar/Tur,13579,17096
Kharif,Bajra,3323,5812
Kharif,Brinjal,613,3954
Kharif,Cabbage,45,845
Kharif,Cashewnut,154,49
Kharif,Castor seed,869,1223
Kharif,Cotton(lint),193207,752371
Kharif,Cowpea(Lobia),126,61
Kharif,Dry chillies,63406,325717
Kharif,Groundnut,510,955
Kharif,Jowar,205,358
Kharif,Lemon,1978,36743
Kharif,Maize,1530,4850
Kharif,Mango,710,5304
Kharif,Moong(Green Gram),4273,1577
Kharif,Onion,630,11864
Kharif,other oilseeds,1315,2087
Kharif,Papaya,300,29369
Kharif,Ragi,6,5
Kharif,Rice,280060,912716
Kharif,Sapota,1431,11833
Kharif,Sesamum,5672,4441
Kharif,Small millets,4,5
Kharif,Soyabean,433,697
Kharif,Sugarcane,420,43200
Kharif,Tomato,688,18292
Kharif,Turmeric,5276,36858
Kharif,Urad,223,150
Rabi,Arhar/Tur,292,368
Rabi,Brinjal,484,3122
Rabi,Cabbage,32,601
Rabi,Castor seed,64,90
Rabi,Dry chillies,1407,6592
Rabi,Gram,9507,21676
Rabi,Groundnut,4689,16791
Rabi,Jowar,13556,82027
Rabi,Maize,85535,643394
Rabi,Moong(Green Gram),25828,24795
Rabi,Onion,19,352
Rabi,Ragi,320,460
Rabi,Rapeseed &Mustard,207,138
Rabi,Rice,48107,183288
Rabi,Sesamum,1132,238
Rabi,Soyabean,54,87
Rabi,Sunflower,16,18
Rabi,Tobacco,6435,21523
Rabi,Tomato,682,7710
Rabi,Urad,36768,40077
Whole Year,Banana,5574,211734
Whole Year,Cashewnut,154,49
Whole Year,Castor seed,933,1313
Whole Year,Coconut,111,1840000
Whole Year,Sannhamp,2594,
Kharif,Arhar/Tur,8861,13805
Kharif,Bajra,689,758
Kharif,Brinjal,448,10512
Kharif,Cabbage,48,592
Kharif,Cashewnut,152,53
Kharif,Castor seed,723,1035
Kharif,Cotton(lint),206374,1075856
Kharif,Cowpea(Lobia),8,3
Kharif,Dry chillies,61140,398021
Kharif,Groundnut,804,1298
Kharif,Jowar,32,48
Kharif,Lemon,2147,37512
Kharif,Maize,367,1215
Kharif,Mango,789,6592
Kharif,Moong(Green Gram),177,52
Kharif,Onion,408,7491
Kharif,other oilseeds,7,150
Kharif,Papaya,176,13856
Kharif,Rice,255607,1000190
Kharif,Sapota,1386,10826
Kharif,Sesamum,1483,449
Kharif,Soyabean,439,1277
Kharif,Sugarcane,470,46102
Kharif,Tomato,462,6642
Kharif,Turmeric,4854,38817
Kharif,Urad,1057,1517
Rabi,Arhar/Tur,193,301
Rabi,Bajra,62,68
Rabi,Brinjal,532,12483
Rabi,Cabbage,29,357
Rabi,Castor seed,11,16
Rabi,Cotton(lint),22,115
Rabi,Dry chillies,2078,10500
Rabi,Gram,5945,13691
Rabi,Groundnut,3839,19771
Rabi,Jowar,21907,150983
Rabi,Maize,63701,611020
Rabi,Moong(Green Gram),47589,61199
Rabi,Onion,40,707
Rabi,Ragi,400,595
Rabi,Rapeseed &Mustard,330,8
Rabi,Rice,29695,111742
Rabi,Sesamum,1380,261
Rabi,Soyabean,4,12
Rabi,Sunflower,86,83
Rabi,Sweet potato,9,99
Rabi,Tobacco,4991,14559
Rabi,Tomato,524,7100
Rabi,Urad,30401,31799
Whole Year,Coconut,112,2428000
Whole Year,Rice,285302,1111932
Kharif,Arhar/Tur,5700,1400
Kharif,Bajra,2000,2400
Kharif,Castor seed,400,100
Kharif,Cotton(lint),13400,17400
Kharif,Dry chillies,3300,4400
Kharif,Groundnut,103900,47600
Kharif,Horse-gram,200,100
Kharif,Jowar,7300,8100
Kharif,Korra,400,300
Kharif,Maize,200,100
Kharif,Moong(Green Gram),200,100
Kharif,Ragi,100,100
Kharif,Rice,47700,77500
Kharif,Sesamum,3200,700
Kharif,Sugarcane,200,19300
Kharif,Sunflower,51500,27400
Kharif,Tobacco,600,600
Rabi,Dry chillies,200,200
Rabi,Gram,14200,7000
Rabi,Groundnut,26400,32000
Rabi,Horse-gram,300,100
Rabi,Jowar,3000,2600
Rabi,Ragi,800,1300
Rabi,Rice,13000,27700
Rabi,Sunflower,3300,700
Rabi,Urad,200,100
Kharif,Arhar/Tur,7600,4400
Kharif,Bajra,3000,6000
Kharif,Castor seed,1000,300
Kharif,Cotton(lint),24800,22900
Kharif,Dry chillies,4700,7200
Kharif,Gram,100,100
Kharif,Groundnut,132300,109500
Kharif,Horse-gram,300,100
Kharif,Jowar,6700,5400
Kharif,Korra,600,300
Kharif,Maize,100,100
Kharif,Moong(Green Gram),600,300
Kharif,Ragi,100,100
Kharif,Rice,59200,169800
Kharif,Sesamum,4200,800
Kharif,Sunflower,56100,43200
Rabi,Bajra,500,900
Rabi,Dry chillies,300,500
Rabi,Gram,17400,26600
Rabi,Groundnut,32000,59000
Rabi,Horse-gram,400,200
Rabi,Jowar,1600,1800
Rabi,Ragi,600,1100
Rabi,Rice,17000,41600
Rabi,Sesamum,500,100
Rabi,Sunflower,14500,3600
Rabi,Urad,200,200
Rabi,Wheat,100,
Whole Year,Sugarcane,400,38200
Whole Year,Tobacco,1100,900
Kharif,Bajra,3478,3537
Kharif,Castor seed,3451,652
Kharif,Cotton(lint),25038,27836
Kharif,Groundnut,133978,34700
Kharif,Horse-gram,387,178
Kharif,Jowar,7866,6293
Kharif,Maize,104,295
Kharif,Masoor,12186,3705
Kharif,Moong(Green Gram),370,263
Kharif,Ragi,64,76
Kharif,Rice,54783,134484
Kharif,Sesamum,480,116
Kharif,Sunflower,46967,29642
Kharif,Urad,55,34
Rabi,Bajra,777,790
Rabi,Gram,22263,15651
Rabi,Groundnut,25822,40308
Rabi,Horse-gram,199,61
Rabi,Jowar,5374,5481
Rabi,Maize,11,53
Rabi,Masoor,88,27
Rabi,Moong(Green Gram),257,66
Rabi,Ragi,948,1814
Rabi,Rapeseed &Mustard,14,3
Rabi,Rice,6828,12921
Rabi,Sesamum,4267,981
Rabi,Urad,507,335
Rabi,Wheat,163,109
Whole Year,Dry chillies,6246,8282
Whole Year,Onion,4618,41792
Whole Year,Sugarcane,425,40844
Kharif,Arhar/Tur,15189,8369
Kharif,Bajra,7329,10385
Kharif,Castor seed,7167,2178
Kharif,Cotton(lint),30687,41157
Kharif,Dry chillies,4753,7015
Kharif,Groundnut,150521,174153
Kharif,Horse-gram,394,200
Kharif,Jowar,7798,13132
Kharif,Korra,254,177
Kharif,Maize,104,271
Kharif,Mesta,3,26
Kharif,Moong(Green Gram),741,329
Kharif,Onion,2502,27610
Kharif,Other Kharif pulses,722,122
Kharif,other misc. pulses,33,8
Kharif,Ragi,93,150
Kharif,Rice,60412,170120
Kharif,Samai,2,1
Kharif,Sesamum,390,90
Kharif,Small millets,256,178
Kharif,Sunflower,26671,31039
Kharif,Urad,346,20
Rabi,Arhar/Tur,168,93
Rabi,Bajra,2350,3330
Rabi,Dry chillies,293,335
Rabi,Gram,30637,38541
Rabi,Groundnut,26324,32589
Rabi,Horse-gram,363,77
Rabi,Jowar,3095,3729
Rabi,Korra,82,57
Rabi,Maize,51,275
Rabi,Moong(Green Gram),69,23
Rabi,Onion,483,13965
Rabi,Ragi,909,1312
Rabi,Rice,7426,6134
Rabi,Safflower,4,1
Rabi,Samai,2,1
Rabi,Sesamum,3795,793
Rabi,Small millets,84,58
Rabi,Urad,558,449
Rabi,Wheat,117,67
Whole Year,Banana,3620,161828
Whole Year,Cashewnut,7,2
Whole Year,Coconut,146,625240
Whole Year,Coriander,17799,6336
Whole Year,Sugarcane,356,32880
Whole Year,Sweet potato,46,622
Whole Year,Tobacco,113,145
Whole Year,Turmeric,3574,24889
Kharif,Arhar/Tur,12059,7139
Kharif,Bajra,1395,2514
Kharif,Castor seed,3474,978
Kharif,Cotton(lint),21579,23356
Kharif,Dry chillies,5056,7316
Kharif,Gram,1,1
Kharif,Groundnut,119708,43693
Kharif,Horse-gram,367,158
Kharif,Jowar,2781,1460
Kharif,Korra,246,180
Kharif,Maize,53,142
Kharif,Moong(Green Gram),153,74
Kharif,Onion,2317,15902
Kharif,Other Kharif pulses,842,116
Kharif,Ragi,34,42
Kharif,Rice,38218,96883
Kharif,Samai,1,1
Kharif,Sesamum,38,6
Kharif,Small millets,247,181
Kharif,Sunflower,42724,45269
Kharif,Urad,824,297
Rabi,Arhar/Tur,67,40
Rabi,Bajra,1524,2746
Rabi,Dry chillies,409,637
Rabi,Gram,42871,54060
Rabi,Groundnut,20282,34824
Rabi,Horse-gram,625,338
Rabi,Jowar,1513,690
Rabi,Korra,55,40
Rabi,Maize,31,201
Rabi,Moong(Green Gram),18,5
Rabi,Onion,637,9701
Rabi,Other  Rabi pulses,1,1
